"customer_city","payment_type","order_status","average_order_value"
palmeira d'oeste,boleto,delivered,15.75
jacarei,credit_card,invoiced,17.01
bocaiuva do sul,voucher,delivered,17.61
divinopolis,debit_card,delivered,18.61
santo antonio da alegria,voucher,delivered,18.75
caldas novas,voucher,delivered,19.00
tres fronteiras,voucher,delivered,19.35
braganca paulista,debit_card,delivered,20.29
sabaudia,boleto,delivered,20.42
polo petroquimico de triunfo,boleto,delivered,20.70
itirapina,boleto,delivered,21.49
aparecida,voucher,delivered,21.50
posse,voucher,delivered,22.10
jundiai,boleto,shipped,22.36
aruja,voucher,processing,22.52
jenipapo de minas,credit_card,delivered,22.58
santa tereza do oeste,credit_card,delivered,23.38
agronomica,boleto,delivered,23.49
capivari,boleto,shipped,23.65
praia grande,boleto,shipped,23.93
raposos,boleto,delivered,24.09
tamboara,credit_card,delivered,24.09
santo antonio do rio abaixo,credit_card,delivered,24.23
valparaiso,voucher,delivered,24.75
sao caetano do sul,credit_card,shipped,24.86
pontalinda,credit_card,delivered,24.86
erico cardoso,boleto,delivered,24.88
sabinopolis,voucher,delivered,24.97
igaracu do tiete,credit_card,delivered,25.09
bom jardim de goias,credit_card,delivered,25.10
santa maria da serra,credit_card,delivered,25.50
brodowski,voucher,delivered,25.50
ampere,boleto,delivered,25.51
nova prata do iguacu,voucher,delivered,25.67
tocantins,boleto,delivered,25.69
campos do jordao,debit_card,delivered,25.84
planaltina do parana,boleto,delivered,25.85
sao bento do sapucai,voucher,delivered,25.95
rio das pedras,credit_card,invoiced,25.96
nova resende,boleto,delivered,26.09
costa rica,voucher,delivered,26.12
santa cruz do rio pardo,voucher,delivered,26.13
sao paulo,debit_card,canceled,26.23
vassouras,boleto,processing,26.69
macaubas,credit_card,shipped,26.70
mandirituba,boleto,delivered,26.77
penapolis,voucher,delivered,26.85
itupeva,voucher,delivered,27.00
cruzeiro do sul,credit_card,shipped,27.09
cesario lange,voucher,delivered,27.10
extrema,boleto,processing,27.11
rio casca,boleto,delivered,27.22
nova iguacu,credit_card,invoiced,27.25
ipua,boleto,delivered,27.28
ouro verde do oeste,boleto,delivered,27.38
irineopolis,credit_card,delivered,27.51
capao do leao,voucher,delivered,27.60
batatais,credit_card,invoiced,27.66
itajuba,credit_card,shipped,27.69
ibitiuva,boleto,delivered,27.69
mafra,debit_card,shipped,27.70
guarulhos,boleto,shipped,27.77
sinimbu,credit_card,delivered,27.98
brasilia,voucher,shipped,28.00
piranguinho,voucher,delivered,28.03
governador lindenberg,boleto,delivered,28.07
maringa,voucher,shipped,28.09
bocaina,voucher,delivered,28.13
marica,boleto,shipped,28.13
atibaia,boleto,invoiced,28.22
santo antonio de posse,debit_card,delivered,28.46
americo brasiliense,voucher,delivered,28.47
reserva do iguacu,voucher,delivered,28.52
salmourao,credit_card,delivered,28.69
jaborandi,voucher,delivered,28.69
itau de minas,boleto,delivered,28.75
igaracu do tiete,boleto,delivered,28.75
barrolandia,credit_card,delivered,28.77
castelandia,boleto,delivered,28.77
quissama,boleto,shipped,28.80
ponto do marambaia,boleto,delivered,28.80
ibiraiaras,credit_card,delivered,29.08
itapora,voucher,delivered,29.09
estiva,boleto,delivered,29.13
amelia rodrigues,voucher,delivered,29.29
fazenda rio grande,debit_card,delivered,29.47
guarapuava,credit_card,processing,29.52
sombrio,boleto,delivered,29.55
